"","GEOID","pop_5_and_under"
"569","02476",1197
"570","02478",2020
"571","02481",1018
"572","02482",599
"573","02492",1417
"574","02493",851
"575","02494",680
"576","02532",433
"577","02534",0
"578","02535",48
"579","02536",959
"580","02537",528
"581","02538",187
"582","02539",203
"583","02540",172
"584","02542",170
"585","02543",0
"586","02553",0
"587","02554",764
"588","02556",294
"589","02557",110
"590","02558",0
"591","02559",77
"592","02561",304
"593","02562",150
"594","02563",211
"595","02564",0
"596","02568",374
"597","02571",338
"598","02575",177
"599","02576",46
"600","02584",0
"601","02601",1406
"602","02630",21
"603","02631",177
"604","02632",638
"605","02633",203
"606","02635",58
"607","02637",0
"608","02638",23
"609","02639",178
"610","02641",0
"611","02642",226
"612","02643",0
"613","02644",68
"614","02645",275
"615","02646",44
"616","02647",0
"617","02648",269
"618","02649",768
"619","02650",0
"620","02652",82
"621","02653",295
"622","02655",89
"623","02657",126
"624","02659",80
"625","02660",366
"626","02663",31
"627","02664",233
"628","02666",0
"629","02667",102
"630","02668",158
"631","02670",32
"632","02671",23
"633","02672",0
"634","02673",644
"635","02675",235
"636","02702",258
"637","02703",3740
"638","02713",0
"639","02715",187
"640","02717",275
"641","02718",468
"642","02719",736
"643","02720",1853
"644","02721",2538
"645","02723",1119
"646","02724",1199
"647","02725",75
"648","02726",893
"649","02738",275
"650","02739",232
"651","02740",3572
"652","02743",478
"653","02744",1206
"654","02745",1670
"655","02746",1691
"656","02747",823
"657","02748",664
"658","02760",1471
"659","02762",463
"660","02763",218
"661","02764",148
"662","02766",793
"663","02767",941
"664","02769",664
"665","02770",359
"666","02771",853
"667","02777",835
"668","02779",343
"669","02780",3188
"670","02790",869
"671","02791",0
"672","02802",0
"673","02804",117
"674","02806",1205
"675","02807",32
"676","02808",55
"677","02809",826
"678","02812",29
"679","02813",253
"680","02814",304
"681","02815",0
"682","02816",1844
"683","02817",210
"684","02818",1403
"685","02822",350
"686","02823",0
"687","02824",0
"688","02825",265
"689","02826",0
"690","02827",105
"691","02828",292
"692","02829",35
"693","02830",305
"694","02831",274
"695","02832",309
