"","...1","...2","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under","ratio","status","status_num","dw"
"959",8120,NA,"65654",2023,"March",NA,NA,NA,39,NA,"non-desert",0,"39 children and no child care programs"
"960",8121,NA,"65656",2023,"March",NA,NA,NA,182,NA,"desert",1,"182 children and no child care programs"
"961",8122,NA,"65657",2023,"March",NA,NA,NA,50,NA,"desert",1,"50 children and no child care programs"
"962",8123,NA,"65658",2023,"March",NA,NA,NA,5,NA,"non-desert",0,"5 children and no child care programs"
"963",8124,NA,"65660",2023,"March",NA,NA,NA,6,NA,"non-desert",0,"6 children and no child care programs"
"964",8125,NA,"65663",2023,"March",NA,NA,NA,195,NA,"desert",1,"195 children and no child care programs"
"965",8126,NA,"65664",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"966",8127,NA,"65667",2023,"March",NA,NA,NA,275,NA,"desert",1,"275 children and no child care programs"
"967",8128,NA,"65669",2023,"March",NA,NA,NA,70,NA,"desert",1,"70 children and no child care programs"
"968",8129,NA,"65739",2023,"March",NA,NA,NA,35,NA,"non-desert",0,"35 children and no child care programs"
"969",8130,NA,"65674",2023,"March",NA,NA,NA,166,NA,"desert",1,"166 children and no child care programs"
"970",8131,NA,"65676",2023,"March",NA,NA,NA,52,NA,"desert",1,"52 children and no child care programs"
"971",8132,NA,"65679",2023,"March",NA,NA,NA,167,NA,"desert",1,"167 children and no child care programs"
"972",8133,NA,"65681",2023,"March",NA,NA,NA,61,NA,"desert",1,"61 children and no child care programs"
"973",8134,NA,"65682",2023,"March",NA,NA,NA,82,NA,"desert",1,"82 children and no child care programs"
"974",8135,NA,"65685",2023,"March",NA,NA,NA,88,NA,"desert",1,"88 children and no child care programs"
"975",8136,NA,"65690",2023,"March",NA,NA,NA,4,NA,"non-desert",0,"4 children and no child care programs"
"976",8137,NA,"65692",2023,"March",NA,NA,NA,60,NA,"desert",1,"60 children and no child care programs"
"977",8138,NA,"65702",2023,"March",NA,NA,NA,12,NA,"non-desert",0,"12 children and no child care programs"
"978",8139,NA,"65705",2023,"March",NA,NA,NA,298,NA,"desert",1,"298 children and no child care programs"
"979",8140,NA,"65707",2023,"March",NA,NA,NA,145,NA,"desert",1,"145 children and no child care programs"
"980",8141,NA,"65710",2023,"March",NA,NA,NA,134,NA,"desert",1,"134 children and no child care programs"
"981",8142,NA,"65715",2023,"March",NA,NA,NA,17,NA,"non-desert",0,"17 children and no child care programs"
"982",8143,NA,"65717",2023,"March",NA,NA,NA,145,NA,"desert",1,"145 children and no child care programs"
"983",8144,NA,"65720",2023,"March",NA,NA,NA,77,NA,"desert",1,"77 children and no child care programs"
"984",8145,NA,"65722",2023,"March",NA,NA,NA,83,NA,"desert",1,"83 children and no child care programs"
"985",8146,NA,"65724",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"986",8147,NA,"65727",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"987",8148,NA,"65728",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"988",8149,NA,"65729",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"989",8150,NA,"65730",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"990",8151,NA,"65731",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"991",8152,NA,"65732",2023,"March",NA,NA,NA,159,NA,"desert",1,"159 children and no child care programs"
"992",8153,NA,"65733",2023,"March",NA,NA,NA,134,NA,"desert",1,"134 children and no child care programs"
"993",8154,NA,"65734",2023,"March",NA,NA,NA,316,NA,"desert",1,"316 children and no child care programs"
"994",8155,NA,"65735",2023,"March",NA,NA,NA,20,NA,"non-desert",0,"20 children and no child care programs"
"995",8156,NA,"65740",2023,"March",NA,NA,NA,272,NA,"desert",1,"272 children and no child care programs"
"996",8157,NA,"65773",2023,"March",NA,NA,NA,44,NA,"non-desert",0,"44 children and no child care programs"
"997",8158,NA,"65744",2023,"March",NA,NA,NA,3,NA,"non-desert",0,"3 children and no child care programs"
"998",8159,NA,"65745",2023,"March",NA,NA,NA,240,NA,"desert",1,"240 children and no child care programs"
"999",8160,NA,"65752",2023,"March",NA,NA,NA,31,NA,"non-desert",0,"31 children and no child care programs"
"1000",8161,NA,"65754",2023,"March",NA,NA,NA,16,NA,"non-desert",0,"16 children and no child care programs"
"1001",8162,NA,"65755",2023,"March",NA,NA,NA,9,NA,"non-desert",0,"9 children and no child care programs"
"1002",8163,NA,"65756",2023,"March",NA,NA,NA,40,NA,"non-desert",0,"40 children and no child care programs"
"1003",8164,NA,"65760",2023,"March",NA,NA,NA,11,NA,"non-desert",0,"11 children and no child care programs"
"1004",8165,NA,"65761",2023,"March",NA,NA,NA,29,NA,"non-desert",0,"29 children and no child care programs"
"1005",8166,NA,"65762",2023,"March",NA,NA,NA,45,NA,"non-desert",0,"45 children and no child care programs"
"1006",8167,NA,"65764",2023,"March",NA,NA,NA,114,NA,"desert",1,"114 children and no child care programs"
"1007",8168,NA,"65766",2023,"March",NA,NA,NA,5,NA,"non-desert",0,"5 children and no child care programs"
"1008",8169,NA,"65767",2023,"March",NA,NA,NA,237,NA,"desert",1,"237 children and no child care programs"
"1009",8170,NA,"65768",2023,"March",NA,NA,NA,18,NA,"non-desert",0,"18 children and no child care programs"
"1010",8171,NA,"65769",2023,"March",NA,NA,NA,216,NA,"desert",1,"216 children and no child care programs"
"1011",8172,NA,"65771",2023,"March",NA,NA,NA,51,NA,"desert",1,"51 children and no child care programs"
"1012",8173,NA,"65772",2023,"March",NA,NA,NA,147,NA,"desert",1,"147 children and no child care programs"
"1013",8174,NA,"65774",2023,"March",NA,NA,NA,86,NA,"desert",1,"86 children and no child care programs"
"1014",8175,NA,"65777",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"1015",8176,NA,"65778",2023,"March",NA,NA,NA,6,NA,"non-desert",0,"6 children and no child care programs"
"1016",8177,NA,"65779",2023,"March",NA,NA,NA,24,NA,"non-desert",0,"24 children and no child care programs"
"1017",8178,NA,"65783",2023,"March",NA,NA,NA,18,NA,"non-desert",0,"18 children and no child care programs"
"1018",8179,NA,"65784",2023,"March",NA,NA,NA,0,NA,"non-desert",0,"0 children and no child care programs"
"1019",8180,NA,"65786",2023,"March",NA,NA,NA,239,NA,"desert",1,"239 children and no child care programs"
"1020",8181,NA,"65787",2023,"March",NA,NA,NA,49,NA,"non-desert",0,"49 children and no child care programs"
"1021",8182,NA,"65788",2023,"March",NA,NA,NA,13,NA,"non-desert",0,"13 children and no child care programs"
"1022",8183,NA,"65789",2023,"March",NA,NA,NA,354,NA,"desert",1,"354 children and no child care programs"
"1023",8184,NA,"65790",2023,"March",NA,NA,NA,187,NA,"desert",1,"187 children and no child care programs"
