"","...1","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"172",1307,"63801","2019","November",27,13,677,1765
"173",1315,"63822","2019","November",2,2,40,116
"174",1323,"63823","2019","November",1,NA,7,120
"175",1330,"63825","2019","November",2,1,34,225
"176",1338,"63827","2019","November",1,NA,10,55
"177",1351,"63830","2019","November",6,2,247,506
"178",1359,"63834","2019","November",1,NA,80,348
"179",1366,"63837","2019","November",1,NA,10,121
"180",1371,"63841","2019","November",11,6,375,1058
"181",1379,"63845","2019","November",2,NA,108,225
"182",1387,"63848","2019","November",2,2,30,87
"183",1395,"63851","2019","November",4,1,156,329
"184",1403,"63852","2019","November",1,1,20,104
"185",1411,"63857","2019","November",10,4,320,792
"186",1419,"63862","2019","November",1,1,20,163
"187",1426,"63863","2019","November",6,1,219,537
"188",1434,"63867","2019","November",1,1,10,78
"189",1442,"63869","2019","November",2,NA,85,208
"190",1450,"63870","2019","November",1,NA,20,90
"191",1456,"63873","2019","November",6,1,97,354
"192",1464,"63876","2019","November",2,1,128,210
"193",1472,"63877","2019","November",2,NA,60,360
"194",1480,"63878","2019","November",1,1,10,8
"195",1488,"63901","2019","November",16,3,987,2926
"196",1496,"63932","2019","November",2,NA,50,19
"197",1504,"63933","2019","November",1,1,15,311
"198",1511,"63935","2019","November",8,5,182,579
"199",1519,"63936","2019","November",1,1,10,72
"200",1526,"63937","2019","November",1,NA,40,212
"201",1533,"63944","2019","November",3,2,60,65
"202",1541,"63954","2019","November",1,NA,19,29
"203",1548,"63957","2019","November",3,1,109,302
"204",1556,"63960","2019","November",3,NA,50,319
"205",1564,"63961","2019","November",2,1,30,105
"206",1570,"63965","2019","November",2,NA,65,104
"207",1578,"64012","2019","November",18,4,1099,1882
"208",1586,"64014","2019","November",14,2,799,2841
"209",1594,"64015","2019","November",15,4,1028,2470
"210",1602,"64016","2019","November",2,NA,67,361
"211",1610,"64024","2019","November",6,NA,402,830
