"","zcta","year","month","childcare_programs","programs_accepting_subsidies","licensed_capacity","pop_5_and_under"
"2754","65020",2022,"September",11,7,480,906
"2755","65020",2023,"March",11,7,514,906
"2756","65024",2019,"November",1,1,15,36
"2757","65024",2021,"March",2,1,25,36
"2758","65024",2021,"September",2,1,25,36
"2759","65024",2022,"March",2,1,30,36
"2760","65024",2022,"September",1,NA,10,36
"2761","65024",2023,"March",1,1,20,36
"2762","65026",2019,"November",9,2,225,806
"2763","65026",2020,"March",9,2,225,806
"2764","65026",2020,"September",7,2,175,806
"2765","65026",2021,"March",8,1,225,806
"2766","65026",2021,"September",8,1,225,806
"2767","65026",2022,"March",7,NA,130,806
"2768","65026",2022,"September",6,NA,135,806
"2769","65026",2023,"March",6,NA,135,806
"2770","65035",2019,"November",1,1,10,143
"2771","65035",2020,"March",1,NA,10,143
"2772","65035",2020,"September",1,NA,10,143
"2773","65035",2021,"March",1,NA,10,143
"2774","65035",2021,"September",1,NA,10,143
"2775","65035",2022,"March",1,NA,10,143
"2776","65035",2022,"September",1,NA,10,143
"2777","65035",2023,"March",1,NA,10,143
"2778","65037",2019,"November",1,NA,70,127
"2779","65037",2020,"March",1,1,70,127
"2780","65037",2020,"September",1,1,70,127
"2781","65037",2021,"March",1,1,70,127
"2782","65037",2021,"September",2,2,98,127
"2783","65037",2022,"March",2,2,98,127
"2784","65037",2022,"September",2,2,98,127
"2785","65037",2023,"March",2,2,98,127
"2786","65039",2020,"March",1,NA,10,176
"2787","65039",2020,"September",1,NA,10,176
"2788","65039",2021,"March",1,NA,10,176
"2789","65039",2021,"September",1,NA,10,176
"2790","65039",2022,"March",1,NA,10,176
"2791","65039",2022,"September",1,NA,10,176
"2792","65039",2023,"March",1,NA,10,176
"2793","65041",2019,"November",5,NA,88,315
"2794","65041",2020,"March",5,1,88,315
"2795","65041",2020,"September",5,1,88,315
"2796","65041",2021,"March",5,1,88,315
"2797","65041",2021,"September",4,1,78,315
"2798","65041",2022,"March",4,1,78,315
"2799","65041",2022,"September",4,1,78,315
"2800","65041",2023,"March",5,1,93,315
"2801","65043",2019,"November",9,2,292,876
"2802","65043",2020,"March",9,6,292,876
"2803","65043",2020,"September",8,6,282,876
"2804","65043",2021,"March",7,6,272,876
"2805","65043",2021,"September",7,5,311,876
"2806","65043",2022,"March",7,5,311,876
"2807","65043",2022,"September",6,4,301,876
"2808","65043",2023,"March",7,5,325,876
"2809","65046",2020,"September",1,NA,20,116
"2810","65046",2021,"March",1,NA,20,116
"2811","65046",2021,"September",1,NA,20,116
"2812","65046",2022,"March",1,NA,20,116
"2813","65046",2023,"March",1,NA,30,116
"2814","65049",2019,"November",5,NA,199,382
"2815","65049",2020,"March",5,3,199,382
"2816","65049",2020,"September",4,2,210,382
"2817","65049",2021,"March",6,3,259,382
"2818","65049",2021,"September",4,2,125,382
"2819","65049",2022,"March",4,3,125,382
"2820","65049",2022,"September",4,3,154,382
"2821","65049",2023,"March",4,2,187,382
"2822","65051",2019,"November",10,3,193,244
"2823","65051",2020,"March",10,4,193,244
"2824","65051",2020,"September",8,3,153,244
"2825","65051",2021,"March",9,3,173,244
"2826","65051",2021,"September",9,3,183,244
"2827","65051",2022,"March",8,3,173,244
"2828","65051",2022,"September",8,2,120,244
"2829","65051",2023,"March",8,3,160,244
"2830","65052",2019,"November",2,NA,87,105
"2831","65052",2020,"March",2,1,87,105
"2832","65052",2020,"September",2,1,87,105
"2833","65052",2021,"March",3,2,127,105
"2834","65052",2021,"September",1,NA,48,105
"2835","65052",2022,"March",1,NA,48,105
"2836","65052",2022,"September",2,NA,87,105
"2837","65052",2023,"March",2,NA,87,105
"2838","65054",2019,"November",3,NA,150,41
"2839","65054",2020,"March",3,2,150,41
"2840","65054",2020,"September",3,2,150,41
"2841","65054",2021,"March",3,2,150,41
"2842","65054",2021,"September",3,2,150,41
"2843","65054",2022,"March",3,1,153,41
"2844","65054",2022,"September",4,2,173,41
"2845","65054",2023,"March",4,2,173,41
"2846","65059",2019,"November",1,NA,20,55
"2847","65059",2020,"March",1,NA,20,55
"2848","65059",2020,"September",1,NA,20,55
"2849","65059",2021,"September",1,NA,20,55
"2850","65059",2022,"March",1,NA,20,55
"2851","65059",2022,"September",1,NA,20,55
"2852","65059",2023,"March",1,NA,20,55
"2853","65063",2019,"November",4,1,91,226
"2854","65063",2020,"March",4,2,91,226
"2855","65063",2020,"September",3,2,80,226
"2856","65063",2021,"March",4,2,110,226
"2857","65063",2021,"September",4,2,110,226
"2858","65063",2022,"March",4,2,110,226
"2859","65063",2022,"September",4,2,110,226
"2860","65063",2023,"March",4,2,110,226
"2861","65065",2019,"November",8,3,466,371
"2862","65065",2020,"March",5,4,360,371
"2863","65065",2020,"September",4,3,338,371
"2864","65065",2021,"March",3,2,289,371
"2865","65065",2021,"September",4,3,338,371
"2866","65065",2022,"March",4,3,338,371
"2867","65065",2022,"September",4,3,338,371
"2868","65065",2023,"March",6,4,447,371
"2869","65066",2019,"November",4,1,100,348
"2870","65066",2020,"March",4,2,100,348
"2871","65066",2020,"September",5,2,150,348
"2872","65066",2021,"March",5,3,150,348
"2873","65066",2021,"September",5,3,150,348
"2874","65066",2022,"March",5,2,150,348
"2875","65066",2022,"September",5,2,150,348
"2876","65066",2023,"March",5,2,150,348
"2877","65074",2019,"November",2,NA,30,194
"2878","65074",2020,"March",1,NA,10,194
"2879","65074",2020,"September",2,NA,30,194
"2880","65074",2021,"March",2,NA,30,194
"2881","65074",2021,"September",2,NA,30,194
"2882","65074",2022,"March",1,NA,20,194
"2883","65074",2022,"September",1,NA,20,194
"2884","65074",2023,"March",1,NA,20,194
"2885","65075",2019,"November",4,NA,30,82
"2886","65075",2020,"March",4,NA,30,82
"2887","65075",2020,"September",2,NA,20,82
"2888","65075",2021,"March",2,NA,20,82
"2889","65075",2021,"September",2,NA,20,82
"2890","65075",2022,"March",2,NA,20,82
"2891","65075",2022,"September",2,NA,20,82
"2892","65075",2023,"March",2,NA,20,82
"2893","65076",2019,"November",3,1,40,54
"2894","65076",2020,"March",2,1,30,54
"2895","65076",2020,"September",2,1,30,54
"2896","65076",2021,"March",2,1,30,54
"2897","65076",2021,"September",2,NA,30,54
"2898","65076",2022,"March",1,NA,20,54
"2899","65076",2022,"September",1,NA,20,54
"2900","65076",2023,"March",1,NA,20,54
"2901","65078",2019,"November",1,NA,14,231
"2902","65078",2020,"March",1,NA,14,231
"2903","65078",2020,"September",1,NA,14,231
"2904","65078",2021,"March",1,NA,14,231
"2905","65078",2021,"September",1,NA,14,231
"2906","65078",2022,"March",1,NA,14,231
"2907","65078",2022,"September",1,NA,14,231
"2908","65078",2023,"March",1,NA,14,231
"2909","65081",2019,"November",2,NA,97,148
"2910","65081",2020,"March",2,1,97,148
"2911","65081",2020,"September",1,1,65,148
"2912","65081",2021,"March",2,1,97,148
"2913","65081",2021,"September",2,1,97,148
"2914","65081",2022,"March",2,1,97,148
"2915","65081",2022,"September",2,1,97,148
"2916","65081",2023,"March",2,1,97,148
"2917","65082",2019,"November",2,1,34,108
"2918","65082",2020,"March",2,1,40,108
"2919","65082",2020,"September",2,NA,40,108
"2920","65082",2021,"March",1,NA,20,108
"2921","65082",2021,"September",1,NA,20,108
"2922","65082",2022,"March",1,NA,20,108
"2923","65082",2022,"September",1,NA,20,108
"2924","65082",2023,"March",1,NA,20,108
"2925","65084",2019,"November",1,NA,88,874
"2926","65084",2020,"September",1,1,88,874
"2927","65084",2021,"March",1,1,88,874
"2928","65084",2021,"September",1,1,88,874
"2929","65084",2022,"March",1,1,88,874
"2930","65084",2022,"September",1,1,88,874
"2931","65084",2023,"March",1,1,88,874
"2932","65085",2019,"November",2,NA,68,156
"2933","65085",2020,"March",1,NA,10,156
"2934","65085",2020,"September",1,1,58,156
"2935","65085",2021,"March",1,1,58,156
"2936","65085",2021,"September",1,1,58,156
"2937","65085",2022,"March",1,1,58,156
"2938","65085",2022,"September",1,1,58,156
"2939","65085",2023,"March",1,1,58,156
"2940","65101",2019,"November",34,5,1806,2384
"2941","65101",2020,"March",30,16,1648,2384
"2942","65101",2020,"September",22,16,1450,2384
"2943","65101",2021,"March",29,16,1763,2384
"2944","65101",2021,"September",31,17,1873,2384
"2945","65101",2022,"March",31,17,1873,2384
"2946","65101",2022,"September",30,16,1818,2384
"2947","65101",2023,"March",30,15,1852,2384
"2948","65109",2019,"November",34,NA,1746,2721
"2949","65109",2020,"March",30,11,1495,2721
"2950","65109",2020,"September",22,11,1220,2721
"2951","65109",2021,"March",29,11,1719,2721
"2952","65109",2021,"September",29,9,1670,2721
"2953","65109",2022,"March",28,9,1579,2721
"2954","65109",2022,"September",28,8,1443,2721
"2955","65109",2023,"March",26,9,1471,2721
"2956","65201",2019,"November",37,5,1722,1985
"2957","65201",2020,"March",33,15,1536,1985
"2958","65201",2020,"September",27,12,1319,1985
"2959","65201",2021,"March",38,17,1939,1985
"2960","65201",2021,"September",36,18,1936,1985
"2961","65201",2022,"March",34,18,1755,1985
"2962","65201",2022,"September",34,17,1755,1985
"2963","65201",2023,"March",35,17,1667,1985
"2964","65202",2019,"November",49,7,1317,4024
"2965","65202",2020,"March",38,13,963,4024
"2966","65202",2020,"September",34,12,937,4024
"2967","65202",2021,"March",42,21,1290,4024
"2968","65202",2021,"September",41,22,1360,4024
"2969","65202",2022,"March",40,25,1330,4024
"2970","65202",2022,"September",41,25,1362,4024
"2971","65202",2023,"March",39,25,1361,4024
"2972","65203",2019,"November",69,NA,3120,4577
"2973","65203",2020,"March",46,18,1876,4577
"2974","65203",2020,"September",47,18,2156,4577
"2975","65203",2021,"March",60,26,3236,4577
"2976","65203",2021,"September",61,27,3179,4577
"2977","65203",2022,"March",61,27,3236,4577
"2978","65203",2022,"September",57,27,3181,4577
"2979","65203",2023,"March",56,27,3248,4577
"2980","65231",2019,"November",3,NA,30,149
"2981","65231",2020,"March",3,NA,30,149
"2982","65231",2020,"September",3,NA,30,149
"2983","65231",2021,"March",3,NA,30,149
"2984","65231",2021,"September",3,NA,30,149
"2985","65231",2022,"March",2,NA,20,149
"2986","65231",2022,"September",2,NA,20,149
"2987","65231",2023,"March",2,NA,20,149
"2988","65233",2019,"November",11,4,320,889
"2989","65233",2020,"March",12,8,320,889
"2990","65233",2020,"September",11,7,264,889
"2991","65233",2021,"March",13,7,358,889
"2992","65233",2021,"September",12,6,348,889
"2993","65233",2022,"March",11,6,338,889
"2994","65233",2022,"September",11,6,338,889
"2995","65233",2023,"March",11,6,338,889
"2996","65236",2019,"November",3,1,72,89
"2997","65236",2020,"March",2,1,40,89
"2998","65236",2020,"September",1,NA,20,89
"2999","65236",2021,"March",2,1,52,89
"3000","65236",2021,"September",2,NA,52,89
"3001","65236",2022,"March",2,NA,52,89
"3002","65236",2022,"September",2,NA,52,89
"3003","65236",2023,"March",2,NA,52,89
"3004","65239",2019,"November",1,1,10,63
"3005","65239",2020,"March",1,1,10,63
"3006","65239",2020,"September",1,1,10,63
"3007","65239",2021,"March",1,1,10,63
"3008","65239",2021,"September",1,1,10,63
"3009","65239",2022,"March",1,1,10,63
"3010","65240",2019,"November",10,2,201,960
"3011","65240",2020,"March",8,1,124,960
"3012","65240",2020,"September",7,1,124,960
"3013","65240",2021,"March",11,1,211,960
"3014","65240",2021,"September",8,NA,181,960
"3015","65240",2022,"March",8,NA,181,960
"3016","65240",2022,"September",7,NA,171,960
"3017","65240",2023,"March",7,NA,175,960
"3018","65248",2019,"November",9,1,106,316
"3019","65248",2020,"March",8,2,96,316
"3020","65248",2020,"September",8,2,96,316
"3021","65248",2021,"March",7,2,86,316
"3022","65248",2021,"September",8,2,134,316
"3023","65248",2022,"March",7,2,124,316
"3024","65248",2022,"September",7,2,124,316
"3025","65248",2023,"March",7,2,124,316
"3026","65251",2019,"November",12,1,410,1198
"3027","65251",2020,"March",11,7,394,1198
"3028","65251",2020,"September",10,6,369,1198
"3029","65251",2021,"March",12,7,400,1198
"3030","65251",2021,"September",12,6,421,1198
"3031","65251",2022,"March",12,7,421,1198
"3032","65251",2022,"September",11,7,411,1198
"3033","65251",2023,"March",11,7,411,1198
"3034","65254",2019,"November",3,NA,62,195
"3035","65254",2020,"March",2,NA,42,195
"3036","65254",2020,"September",2,1,30,195
"3037","65254",2021,"March",2,1,30,195
"3038","65254",2021,"September",2,1,30,195
"3039","65254",2022,"March",2,1,30,195
"3040","65254",2022,"September",2,1,30,195
"3041","65254",2023,"March",2,1,30,195
"3042","65255",2019,"November",8,1,169,482
"3043","65255",2020,"March",7,2,186,482
"3044","65255",2020,"September",7,2,186,482
"3045","65255",2021,"March",8,3,207,482
"3046","65255",2021,"September",7,2,197,482
"3047","65255",2022,"March",7,2,197,482
"3048","65255",2022,"September",7,2,302,482
"3049","65255",2023,"March",7,2,322,482
"3050","65256",2019,"November",3,1,90,111
"3051","65256",2020,"March",3,1,90,111
"3052","65256",2020,"September",2,1,80,111
"3053","65256",2021,"March",2,1,80,111
"3054","65256",2021,"September",2,1,80,111
"3055","65256",2022,"March",2,1,80,111
"3056","65256",2022,"September",2,1,80,111
"3057","65256",2023,"March",2,1,80,111
"3058","65257",2019,"November",1,NA,50,160
"3059","65259",2019,"November",2,1,30,180
"3060","65259",2020,"March",1,1,10,180
"3061","65259",2020,"September",2,2,30,180
"3062","65259",2021,"March",2,2,30,180
"3063","65259",2021,"September",2,2,30,180
"3064","65259",2022,"March",2,2,30,180
"3065","65259",2022,"September",2,2,30,180
"3066","65259",2023,"March",2,2,30,180
"3067","65261",2019,"November",2,NA,20,161
"3068","65261",2020,"March",2,NA,20,161
"3069","65261",2020,"September",1,NA,10,161
"3070","65261",2021,"March",1,NA,10,161
"3071","65261",2021,"September",1,NA,10,161
"3072","65261",2022,"March",1,NA,10,161
"3073","65261",2022,"September",1,NA,10,161
"3074","65261",2023,"March",1,NA,10,161
"3075","65262",2019,"November",1,NA,63,178
"3076","65262",2020,"September",1,1,63,178
"3077","65262",2021,"March",1,1,63,178
"3078","65262",2021,"September",1,1,60,178
"3079","65262",2022,"March",1,1,60,178
"3080","65262",2022,"September",1,1,60,178
"3081","65262",2023,"March",1,1,60,178
"3082","65265",2019,"November",15,3,277,1142
"3083","65265",2020,"March",13,3,189,1142
"3084","65265",2020,"September",15,4,277,1142
"3085","65265",2021,"March",16,4,297,1142
"3086","65265",2021,"September",16,4,297,1142
"3087","65265",2022,"March",13,3,261,1142
"3088","65265",2022,"September",11,4,244,1142
"3089","65265",2023,"March",11,4,244,1142
"3090","65270",2019,"November",11,4,427,1311
"3091","65270",2020,"March",10,8,347,1311
"3092","65270",2020,"September",9,8,327,1311
"3093","65270",2021,"March",12,9,455,1311
"3094","65270",2021,"September",12,9,455,1311
"3095","65270",2022,"March",12,9,455,1311
"3096","65270",2022,"September",12,9,514,1311
"3097","65270",2023,"March",13,10,549,1311
"3098","65275",2019,"November",4,1,106,102
"3099","65275",2020,"March",4,3,106,102
"3100","65275",2020,"September",4,3,114,102
"3101","65275",2021,"March",4,2,114,102
"3102","65275",2021,"September",4,2,114,102
"3103","65275",2022,"March",4,2,114,102
"3104","65275",2022,"September",4,2,114,102
"3105","65275",2023,"March",4,2,114,102
"3106","65281",2019,"November",5,2,78,195
"3107","65281",2020,"March",5,3,78,195
"3108","65281",2020,"September",5,3,78,195
"3109","65281",2021,"March",5,3,78,195
"3110","65281",2021,"September",5,1,78,195
"3111","65281",2022,"March",5,1,78,195
"3112","65281",2022,"September",5,1,78,195
"3113","65281",2023,"March",5,1,78,195
"3114","65284",2019,"November",1,NA,43,95
"3115","65284",2020,"March",1,1,43,95
"3116","65284",2020,"September",1,1,43,95
"3117","65284",2021,"March",1,1,43,95
"3118","65284",2021,"September",1,1,43,95
"3119","65284",2022,"March",1,1,43,95
"3120","65284",2022,"September",1,1,44,95
"3121","65284",2023,"March",1,1,44,95
"3122","65301",2019,"November",26,4,1265,2912
"3123","65301",2020,"March",27,18,1273,2912
"3124","65301",2020,"September",19,13,907,2912
"3125","65301",2021,"March",23,15,1324,2912
"3126","65301",2021,"September",23,14,1158,2912
"3127","65301",2022,"March",23,15,1003,2912
"3128","65301",2022,"September",22,15,1165,2912
"3129","65301",2023,"March",22,15,1166,2912
"3130","65323",2019,"November",2,1,135,59
"3131","65323",2020,"March",2,1,135,59
"3132","65323",2020,"September",1,1,90,59
"3133","65323",2021,"March",1,1,90,59
"3134","65323",2021,"September",1,1,90,59
"3135","65323",2022,"March",1,1,90,59
"3136","65325",2019,"November",3,NA,135,131
"3137","65325",2020,"March",3,1,135,131
"3138","65325",2020,"September",1,NA,10,131
"3139","65325",2021,"March",4,1,155,131
"3140","65325",2021,"September",4,1,115,131
"3141","65325",2022,"March",4,1,115,131
"3142","65325",2022,"September",4,1,115,131
"3143","65325",2023,"March",4,1,115,131
"3144","65327",2019,"November",1,NA,10,10
"3145","65327",2020,"March",1,NA,10,10
"3146","65327",2021,"March",1,NA,10,10
"3147","65327",2021,"September",1,NA,10,10
"3148","65327",2022,"March",1,NA,10,10
"3149","65327",2022,"September",1,NA,10,10
"3150","65327",2023,"March",1,NA,10,10
"3151","65332",2019,"November",1,NA,60,87
"3152","65332",2020,"March",1,1,60,87
"3153","65332",2021,"March",1,1,60,87
"3154","65332",2021,"September",1,1,60,87
"3155","65332",2022,"March",1,1,60,87
"3156","65332",2022,"September",1,1,60,87
"3157","65332",2023,"March",1,1,60,87
"3158","65336",2019,"November",7,NA,253,540
"3159","65336",2020,"March",8,NA,337,540
"3160","65336",2020,"September",7,NA,317,540
"3161","65336",2021,"March",7,NA,303,540
"3162","65336",2021,"September",7,NA,303,540
"3163","65336",2022,"March",7,NA,303,540
"3164","65336",2022,"September",6,1,233,540
"3165","65336",2023,"March",6,1,233,540
"3166","65337",2019,"November",1,NA,100,226
"3167","65337",2020,"March",1,1,100,226
"3168","65337",2021,"March",1,1,60,226
"3169","65337",2021,"September",1,1,60,226
"3170","65337",2022,"March",1,1,60,226
"3171","65337",2022,"September",1,1,60,226
"3172","65337",2023,"March",1,1,60,226
"3173","65338",2019,"November",2,NA,60,189
"3174","65338",2020,"March",1,1,40,189
"3175","65338",2020,"September",1,1,40,189
"3176","65338",2021,"March",2,2,60,189
"3177","65338",2021,"September",2,2,60,189
"3178","65338",2022,"March",2,2,60,189
"3179","65338",2022,"September",2,2,60,189
"3180","65338",2023,"March",2,2,60,189
"3181","65339",2019,"November",1,NA,20,12
"3182","65340",2019,"November",10,2,234,1033
"3183","65340",2020,"March",7,2,134,1033
"3184","65340",2020,"September",6,2,100,1033
"3185","65340",2021,"March",7,2,130,1033
"3186","65340",2021,"September",7,1,130,1033
"3187","65340",2022,"March",8,1,170,1033
"3188","65340",2022,"September",8,1,174,1033
"3189","65340",2023,"March",7,1,164,1033
"3190","65348",2019,"November",1,NA,20,117
"3191","65349",2019,"November",1,NA,20,275
"3192","65350",2019,"November",1,NA,99,142
"3193","65350",2020,"March",1,1,99,142
"3194","65350",2021,"March",1,1,99,142
"3195","65350",2021,"September",1,1,60,142
"3196","65350",2022,"March",1,1,60,142
"3197","65350",2022,"September",1,1,60,142
"3198","65350",2023,"March",1,1,60,142
"3199","65351",2019,"November",1,NA,21,129
"3200","65355",2019,"November",3,1,131,613
"3201","65355",2020,"March",3,3,131,613
"3202","65355",2020,"September",3,3,131,613
"3203","65355",2021,"March",3,3,131,613
"3204","65355",2021,"September",3,3,131,613
"3205","65355",2022,"March",3,3,131,613
"3206","65355",2022,"September",3,2,126,613
"3207","65355",2023,"March",3,3,126,613
"3208","65360",2019,"November",2,1,48,419
"3209","65360",2020,"March",2,2,48,419
"3210","65360",2020,"September",2,2,48,419
"3211","65360",2021,"March",2,2,48,419
"3212","65360",2021,"September",2,2,48,419
"3213","65360",2022,"March",2,2,48,419
"3214","65360",2022,"September",1,1,20,419
"3215","65360",2023,"March",1,1,20,419
"3216","65401",2019,"November",17,10,775,1921
"3217","65401",2020,"March",16,11,755,1921
"3218","65401",2020,"September",14,9,734,1921
"3219","65401",2021,"March",13,6,777,1921
"3220","65401",2021,"September",13,7,777,1921
"3221","65401",2022,"March",13,NA,853,1921
"3222","65401",2022,"September",13,7,853,1921
"3223","65401",2023,"March",14,8,882,1921
"3224","65441",2019,"November",2,NA,30,616
"3225","65441",2020,"March",2,NA,30,616
"3226","65441",2020,"September",1,NA,10,616
"3227","65441",2021,"March",2,NA,30,616
"3228","65441",2021,"September",2,NA,30,616
"3229","65441",2022,"March",2,NA,30,616
"3230","65441",2022,"September",2,NA,30,616
"3231","65441",2023,"March",2,NA,30,616
"3232","65452",2019,"November",1,NA,40,159
"3233","65452",2020,"March",1,1,40,159
"3234","65452",2020,"September",1,1,40,159
"3235","65452",2021,"March",1,1,40,159
"3236","65452",2021,"September",1,1,40,159
"3237","65452",2022,"March",1,1,40,159
"3238","65452",2022,"September",1,1,40,159
"3239","65452",2023,"March",1,1,40,159
"3240","65453",2019,"November",5,1,265,427
"3241","65453",2020,"March",5,3,265,427
"3242","65453",2020,"September",4,3,213,427
"3243","65453",2021,"March",5,2,265,427
"3244","65453",2021,"September",5,2,265,427
"3245","65453",2022,"March",4,2,241,427
"3246","65453",2022,"September",4,2,241,427
"3247","65453",2023,"March",4,2,241,427
"3248","65459",2019,"November",3,NA,40,433
"3249","65459",2020,"March",3,NA,40,433
"3250","65459",2020,"September",3,NA,40,433
"3251","65459",2021,"March",3,NA,40,433
"3252","65459",2021,"September",3,NA,40,433
"3253","65459",2022,"March",3,NA,40,433
"3254","65459",2022,"September",3,NA,40,433
"3255","65459",2023,"March",3,NA,40,433
"3256","65483",2019,"November",5,2,159,192
"3257","65483",2020,"March",3,2,129,192
"3258","65483",2020,"September",4,2,149,192
"3259","65483",2021,"March",3,2,89,192
"3260","65483",2021,"September",3,2,89,192
"3261","65483",2022,"March",3,2,89,192
"3262","65483",2022,"September",3,2,89,192
"3263","65483",2023,"March",3,2,89,192
"3264","65486",2019,"November",4,NA,60,224
"3265","65486",2020,"March",4,2,89,224
"3266","65486",2020,"September",3,1,79,224
"3267","65486",2021,"March",4,1,99,224
"3268","65486",2021,"September",5,1,109,224
"3269","65486",2022,"March",4,NA,60,224
"3270","65486",2022,"September",5,NA,112,224
"3271","65486",2023,"March",5,1,112,224
"3272","65536",2019,"November",17,7,627,2622
"3273","65536",2020,"March",15,10,458,2622
"3274","65536",2020,"September",15,12,567,2622
"3275","65536",2021,"March",15,11,592,2622
"3276","65536",2021,"September",13,8,482,2622
"3277","65536",2022,"March",12,8,472,2622
"3278","65536",2022,"September",11,8,462,2622
"3279","65536",2023,"March",11,8,478,2622
"3280","65542",2019,"November",4,NA,100,425
"3281","65542",2020,"March",4,NA,100,425
"3282","65542",2020,"September",3,NA,50,425
"3283","65542",2021,"March",5,1,110,425
"3284","65542",2021,"September",5,1,110,425
"3285","65542",2022,"March",5,1,110,425
"3286","65542",2022,"September",5,1,110,425
"3287","65542",2023,"March",5,1,110,425
"3288","65548",2019,"November",2,1,60,413
"3289","65548",2020,"March",1,1,20,413
"3290","65548",2020,"September",2,1,60,413
"3291","65548",2021,"March",2,2,60,413
"3292","65548",2021,"September",2,2,60,413
"3293","65548",2022,"March",2,2,60,413
"3294","65548",2022,"September",2,2,80,413
"3295","65548",2023,"March",2,2,80,413
"3296","65556",2019,"November",1,NA,26,417
"3297","65556",2020,"March",1,NA,26,417
"3298","65556",2020,"September",1,NA,26,417
"3299","65556",2021,"March",1,NA,26,417
"3300","65556",2021,"September",1,NA,26,417
"3301","65556",2022,"March",1,NA,26,417
"3302","65556",2022,"September",1,NA,26,417
"3303","65556",2023,"March",1,NA,26,417
"3304","65559",2019,"November",5,1,123,801
"3305","65559",2020,"March",3,1,90,801
"3306","65559",2020,"September",2,NA,33,801
"3307","65559",2021,"March",3,1,53,801
"3308","65559",2021,"September",2,NA,30,801
"3309","65559",2022,"March",3,NA,50,801
"3310","65559",2022,"September",3,NA,50,801
"3311","65559",2023,"March",3,NA,50,801
"3312","65560",2019,"November",5,2,276,959
"3313","65560",2020,"March",3,3,170,959
"3314","65560",2020,"September",3,3,30,959
"3315","65560",2021,"March",5,4,276,959
"3316","65560",2021,"September",6,4,262,959
"3317","65560",2022,"March",6,4,262,959
"3318","65560",2022,"September",7,4,272,959
"3319","65560",2023,"March",6,4,262,959
"3320","65565",2019,"November",4,2,94,291
"3321","65565",2020,"March",3,3,74,291
"3322","65565",2020,"September",3,3,74,291
"3323","65565",2021,"March",4,3,94,291
"3324","65565",2021,"September",3,2,74,291
"3325","65565",2022,"March",3,3,74,291
"3326","65565",2022,"September",3,3,74,291
"3327","65565",2023,"March",3,3,74,291
"3328","65567",2019,"November",1,NA,40,115
"3329","65567",2020,"March",1,NA,40,115
"3330","65567",2021,"March",1,NA,40,115
"3331","65567",2021,"September",1,NA,40,115
"3332","65567",2022,"March",1,NA,40,115
"3333","65567",2022,"September",1,NA,40,115
"3334","65567",2023,"March",1,NA,40,115
"3335","65570",2019,"November",1,NA,20,21
"3336","65570",2020,"September",1,NA,20,21
"3337","65570",2021,"March",1,NA,20,21
"3338","65570",2021,"September",1,NA,20,21
"3339","65570",2022,"March",1,NA,20,21
"3340","65570",2022,"September",1,NA,20,21
"3341","65570",2023,"March",1,NA,20,21
"3342","65571",2019,"November",2,NA,68,23
"3343","65571",2020,"March",1,1,48,23
"3344","65571",2020,"September",1,1,48,23
"3345","65571",2021,"March",1,1,48,23
"3346","65571",2021,"September",1,1,48,23
"3347","65571",2022,"March",1,1,48,23
"3348","65571",2022,"September",1,1,48,23
"3349","65582",2019,"November",2,1,20,148
"3350","65582",2020,"March",3,1,30,148
"3351","65582",2020,"September",3,1,40,148
"3352","65582",2021,"March",3,1,40,148
"3353","65582",2021,"September",3,NA,40,148
"3354","65582",2022,"March",3,NA,40,148
"3355","65582",2022,"September",3,1,40,148
"3356","65582",2023,"March",3,1,40,148
"3357","65583",2019,"November",9,4,599,1191
"3358","65583",2020,"March",9,6,599,1191
"3359","65583",2020,"September",7,5,485,1191
"3360","65583",2021,"March",9,6,599,1191
"3361","65583",2021,"September",8,4,505,1191
"3362","65583",2022,"March",8,4,584,1191
"3363","65583",2022,"September",8,4,584,1191
"3364","65583",2023,"March",8,4,542,1191
"3365","65584",2019,"November",4,1,189,924
"3366","65584",2020,"March",4,1,189,924
"3367","65584",2020,"September",5,2,189,924
"3368","65584",2021,"March",5,2,189,924
"3369","65584",2021,"September",5,2,189,924
"3370","65584",2022,"March",4,2,189,924
"3371","65584",2022,"September",4,1,189,924
"3372","65584",2023,"March",3,1,140,924
"3373","65588",2019,"November",2,NA,128,74
"3374","65588",2020,"March",1,NA,100,74
"3375","65588",2020,"September",1,NA,100,74
"3376","65588",2021,"March",2,NA,128,74
"3377","65588",2021,"September",2,NA,128,74
"3378","65588",2022,"March",2,NA,128,74
"3379","65588",2022,"September",2,NA,128,74
"3380","65588",2023,"March",2,NA,128,74
"3381","65604",2019,"November",1,1,64,253
"3382","65605",2019,"November",8,2,200,878
"3383","65605",2020,"March",7,4,180,878
"3384","65605",2020,"September",5,4,60,878
"3385","65605",2021,"March",8,5,200,878
"3386","65605",2021,"September",6,4,100,878
"3387","65605",2022,"March",6,4,100,878
"3388","65605",2022,"September",6,4,100,878
"3389","65605",2023,"March",6,4,100,878
"3390","65606",2019,"November",3,2,80,112
"3391","65606",2020,"March",2,2,40,112
"3392","65606",2020,"September",3,2,60,112
"3393","65606",2021,"March",2,2,40,112
"3394","65606",2021,"September",3,3,90,112
"3395","65606",2022,"March",2,2,70,112
"3396","65606",2022,"September",2,2,70,112
"3397","65606",2023,"March",2,2,70,112
"3398","65608",2019,"November",5,NA,170,664
"3399","65608",2020,"March",4,1,125,664
"3400","65608",2020,"September",2,1,94,664
"3401","65608",2021,"March",3,2,114,664
