county,zip code,city
New Madrid,63838,Conran
Laclede,65632,Conway
Crawford,65449,Cook Station
Gasconade,65014,Cooper Hill
Pemiscot,63839,Cooter
Sullivan,63556,Cora
Lafayette,64021,Corder
Holt,64437,Corning
Reynolds,63633,Corridon
Lincoln,63377,Corso
Andrew,64436,Cosby
Saint Charles,63338,Cottleville
Cooper,65237,Cotton
Pemiscot,63830,Cottonwood Point
Oregon,65690,Couch
Saint Louis,63136,Country Club Hills
Crawford,65565,Courtois
Caldwell,64637,Cowgill
Holt,64437,Craig
Stone,65633,Crane
Henry,64739,Creighton
Saint Louis,63025,Crescent
Saint Louis,63126,Crestwood
Saline,65351,Cretcher
Saint Louis,63141,Creve Coeur
Pulaski,65452,Crocker
Hickory,65634,Cross Timbers
Perry,63775,Crosstown
Jefferson,63019,Crystal City
Saint Louis,63131,Crystal Lake Park
Clay,64024,Crystal Lakes
Crawford,65453,Cuba
Pike,63339,Curryville
Pike,63334,Cyrene
Dade,65635,Dadeville
Cape Girardeau,63743,Daisy
Chariton,65246,Dalton
Saint Clair,64776,Damascus
Montgomery,63361,Danville
Saint Charles,63366,Dardenne
Saint Charles,63366,Dardenne Prairie
Randolph,65259,Darksville
Gentry,64438,Darlington
Lincoln,63379,Davis
Crawford,65456,Davisville
Livingston,64638,Dawn
Buchanan,64440,De Kalb
Jefferson,63020,De Soto
Carroll,64639,De Witt
Platte,64439,Dearborn
Henry,64740,Deepwater
Boone,65201,Deer Park
Lewis,63447,Deer Ridge
Vernon,64741,Deerfield
Pemiscot,63840,Deering
Saint Charles,63341,Defiance
Saint Louis,63135,Dellwood
Saint Louis,63136,Dellwood
Cape Girardeau,63744,Delta
Worth,64441,Denver
Iron,63636,Des Arc
Saint Louis,63122,Des Peres
Saint Louis,63131,Des Peres
Saint Francois,63601,Desloge
Jefferson,63020,Desoto
Franklin,63068,Detmold
Pulaski,65457,Devils Elbow
Stoddard,63841,Dexter
Newton,64840,Diamond
Mississippi,63834,Diehlstadt
Webster,65636,Diggins
Franklin,63068,Dissen
Jefferson,63023,Dittmer
Callaway,65063,Dixie
Pulaski,65459,Dixon
Saint Francois,63637,Doe Run
Ripley,63935,Doniphan
Ozark,65637,Dora
Dent,65560,Doss
Lafayette,64022,Dover
Schuyler,63536,Downing
Gasconade,65066,Drake
Pettis,65301,Dresden
Bates,64742,Drexel
Douglas,65638,Drury
Stoddard,63936,Dudley
Jasper,64841,Duenweg
Ozark,65761,Dugginsville
Phelps,65461,Duke
Shelby,63437,Duncans Bridge
Saline,65351,Dunksburg
Polk,65640,Dunnegan
Jasper,64801,Duquesne
Lewis,63438,Durham
Cape Girardeau,63745,Dutchtown
Warren,63342,Dutzow
Barry,65641,Eagle Rock
Harrison,64442,Eagleville
Saint Louis,63045,Earth City
Boone,65203,Easley
Cass,64743,East Lynne
Mississippi,63845,East Prairie
Buchanan,64443,Easton
Carter,63965,Eastwood
Macon,63530,Economy
Phelps,65462,Edgar Springs
Platte,64444,Edgerton
Knox,63537,Edina
Saint Louis,63134,Edmundson
Benton,65326,Edwards
Cedar,64744,El Dorado Springs
Miller,65026,Eldon
